harborName,harborType,address,validity,placeId,matchType,reviewFlag,harborConfidence,kgName
내도항,어촌정주어항,"제주시 내도동, 내도1길 24",**B**,,,,UNMATCHED,
외도연대항,어촌정주어항,"제주시 외도동, 외도이동 1956-52",**B**,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
신도항,어촌정주어항,"서귀포시 대정읍 신도리, 신도리 3135-1",**B**,,,,UNMATCHED,
산이수동항,어촌정주어항,"서귀포시 대정읍 상모리, 상모리 130-10",**B**,,,,UNMATCHED,
남원항,어촌정주어항,"서귀포시 남원읍 남원리, 남원리 91-14",**B**,P898,STEM,,CONFIRMED,남원항
신흥항,어촌정주어항,"서귀포시 남원읍 신흥리, 신흥리 135-5",**B**. 제주시 조천읍 신흥항과 별개,,,,UNMATCHED,
태흥3항,어촌정주어항,"서귀포시 남원읍 태흥리, 태흥리 62-29",**B**. 지방어항 태흥2리항과 별개,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
신산항,어촌정주어항,"서귀포시 성산읍 신산리, 신산리 565-10",**B**,,,,UNMATCHED,
온평항,어촌정주어항,"서귀포시 성산읍 온평리, 온평리 1001-4",**B**,P601,STEM,,CONFIRMED,온평리포구
대평항,어촌정주어항,"서귀포시 안덕면 감산리, 감산리 982-6",**B+**. 현행 등재 및 2024년 개발계획 변경 확인,P479,STEM,,CONFIRMED,대평포구
세화항,어촌정주어항,"서귀포시 표선면 세화리, 세화리 1500-62",**B**. 제주시 구좌읍 지방어항 세화항과 다른 항,,STEM,"서귀포 표선 세화항 — 제주시 구좌 세화항과 별개, KG 미등재",REVIEW,
하천항,어촌정주어항,"서귀포시 표선면 하천리, 하천리 71-4",**B**,,,,UNMATCHED,
