placeId,name,categoryMain,categoryMid,categorySub,placeType,placeKind,placeRank,mainActivity,functionTags,roadAddress,jibunAddress,latitude,longitude,indoorOutdoor,indoorOutdoorCode,capacity,parkingCapacity,publicFacilities,accidentSummary1km,accidentSummaryNews,isIsland,islandName,ferryPort,ferryMinutes,halfDayRequired,feeGeneral,feeDisabled,openHours,closedDays,durationMin,homepage,eventStatus2026,eventMonthStart,eventMonthEnd,eventDate2026,eventScheduleConfidence,eventPeriodNote,recommendable,recommendExcludeReason,ferryTrips,islandAccessNote,facilityNature,note
P011,김녕해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 제주시 구좌읍 김녕로 209 일대,제주특별자치도 제주시 구좌읍 김녕리 497-4,33.555154,126.7627523,실외,OUTDOOR,10000,200,공용주차장+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+개수대+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(24), 교통사고(18), 동물/곤충(10)",관광객(1): 익수위험(1) / 미상(3): 익수위험(3),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P012,곽지해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 제주시 애월읍 곽지5길 28,제주특별자치도 제주시 애월읍 곽지리 1565,33.450177,126.305668,실외,OUTDOOR,25000,30,공용주차장+카드결제+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+노천탕+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(18), 교통사고(15), 기타 둔상(6)",관광객(1): 익수위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P013,한라산둘레길사려니숲길,자연관광,트레일·산책로,숲길트레일,Place,SPOT,CENTRAL·POPULAR,산책·트레킹,야외,도로명주소미보유,제주특별자치도 제주시 조천읍 교래리 산137-1,33.408365,126.639813,실외,OUTDOOR,5500,UNKNOWN,공용주차장+화장실+안내소+휴게쉼터+유도 및 안내시설+경보 및 피난시설,"낙상(49), 교통사고(32), 추락(8)",탐방객(1): 자연환경/야생동물(1) / 미상(1): 길잃음(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P014,성산포종합여객터미널,교통시설,항만,여객터미널,Place,SPOT,CENTRAL·POPULAR,이동·환승,교통거점,제주특별자치도 서귀포시 성산읍 성산등용로 130-21,제주특별자치도 서귀포시 성산읍 성산리 347-9,33.472112,126.933198,실내+실외,MIXED,5000,1134,대형주차장+현금결제+카드결제+공중화장실+대합실+무료WIFI+편의점+음료대+안내소+유도 및 안내시설+경보 및 피난시설+엘리베이터+물품보관소,"교통사고(127), 낙상(81), 추락(11)",지역주민(1): 추락(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,공개 웹검색 기준 보완
P015,용머리해안,자연관광,지질·특수자원,해안지형,Area,AREA,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.232861,126.314063,실외,OUTDOOR,3500,70,주차장+화장실+매표소,"낙상(49), 교통사고(31), 추락(7)",관광객(1): 추락(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,중복 병합: P293 사계용머리해안(해산물)
P016,비자림,자연관광,숲·공원,숲,Place,SPOT,CENTRAL·POPULAR,산책·관람,야외,제주특별자치도 제주시 구좌읍 비자숲길 55,제주특별자치도 제주시 구좌읍 평대리 3161-1,33.4913052125,126.811119538,실외,OUTDOOR,5000,110,공용주차장+카드결제+화장실+안내소+무료WIFI+음료대+물품보관함+유도 및 안내시설+경보 및 피난시설,"교통사고(24), 낙상(21), 기타 둔상(3)",불특정다수(1): 교통위험(1) / 지역주민(1): 화재/폭발(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P017,카멜리아힐,자연관광,숲·공원,테마정원,Place,SPOT,CENTRAL·POPULAR,산책·관람,꽃,제주특별자치도 서귀포시 안덕면 병악로 166,제주특별자치도 서귀포시 안덕면 상창리 271,33.289135,126.37011,실외,OUTDOOR,6000,200,대형주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대(카페)+수유실+유도 및 안내시설+경보 및 피난시설+안내소,"교통사고(40), 낙상(23), 동물/곤충(5)",불특정다수(1): 시설/차량충돌(1),UNKNOWN,,,,,8000,5000,09:00~18:30,연중무휴,2시간,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P018,산방산탄산온천,체험·레저,웰니스,온천,Place,SPOT,CENTRAL·POPULAR,휴식·웰니스,실내,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리 981,33.2482165,126.2988896,실내+실외,MIXED,1000,170,대형주차장+현금결제+카드결제+화장실+실내온천+노천탕+수영장+찜질방+식당+카페+수면실+무료WIFI,"낙상(49), 교통사고(31), 추락(7)",관광객(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,온천정보 서비스/관광정보 기준 보완
P019,신라호텔제주,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도 서귀포시 색달동 3039-3,33.247163,126.408781,실내,INDOOR,950,UNKNOWN,대형주차장+현금결제+카드결제+화장실+무료WIFI+식당+카페+실내외수영장+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+의무실,"낙상(104), 교통사고(45), 기타 둔상(38)",불특정다수(1): 시설위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P020,제주항연안여객터미널,교통시설,항만,여객터미널,Place,SPOT,CENTRAL·POPULAR,이동·환승,교통거점,제주특별자치도 제주시 임항로 111,제주특별자치도 제주시 건입동 918-25,33.5200407,126.5342261,실내+실외,MIXED,5400,194,공용주차장+현금결제+카드결제+화장실+무료WIFI+대합실+무인발권기+편의점+음료대+안내소+유도 및 안내시설+경보 및 피난시설+수유실,"낙상(45), 교통사고(31), 열상(9)",미상(1): 추락(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P021,주상절리대,자연관광,지질·특수자원,주상절리,Place,SPOT,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 서귀포시 이어도로 36-30,제주특별자치도 서귀포시 중문동 2767,33.23797,126.42548,실외,OUTDOOR,5000,80,공용주차장+현금결제+카드결제+화장실+안내소+무료WIFI+편의점+음료대+휴게쉼터+유도 및 안내시설+경보 및 피난시설,"낙상(52), 교통사고(27), 기타 둔상(9)",관광객(1): 익수위험(1) / 불특정다수(1): 환경오염(1),UNKNOWN,,,,,2000,무료,09:00~18:00,연중무휴,1시간,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P022,새별오름,자연관광,산·오름,오름,Place,SPOT,CENTRAL·POPULAR,등반·산책,야외,도로명주소미보유,제주특별자치도 제주시 애월읍 봉성리 산59-8,33.368959,126.350594,실외,OUTDOOR,15000,3154,공용주차장+화장실+안내소+편의점(푸드트럭)+음료대+유도 및 안내시설+경보 및 피난시설,"교통사고(19), 낙상(13), 기타 둔상(7)",불특정다수(3): 교통위험(3) / 미상(1): 기상위험(1) / 지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P023,롯데호텔제주점,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도 서귀포시 색달동 2812-4,33.24875,126.4106,실내+실외,MIXED,1100,UNKNOWN,대형주차장+현금결제+카드결제+화장실+무료WIFI+식당+카페+실내외수영장+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+의무실+물품보관소,"낙상(104), 교통사고(45), 기타 둔상(38)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P024,천지연폭포,자연관광,지질·특수자원,폭포,Place,SPOT,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 서귀포시 남성중로 2-15,제주특별자치도 서귀포시 천지동 667-7,33.246947,126.554391,실외,OUTDOOR,5500,190,공용주차장+현금결제+카드결제+화장실+안내소+무료WIFI+편의점+식당+기념품점+음료대+유도 및 안내시설+경보 및 피난시설+휴게쉼터,UNKNOWN,미상(1): 낙석/붕괴(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P025,파르나스호텔제주,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 중문관광로72번길 100,제주특별자치도 서귀포시 색달동 3039-1,33.24529,126.40796,실내,INDOOR,700,UNKNOWN,대형주차장+현금결제+카드결제+화장실+무료WIFI+식당+카페+실내외수영장+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+물품보관소,"낙상(104), 교통사고(45), 기타 둔상(38)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P026,금능해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 제주시 한림읍 금능길 119,제주특별자치도 제주시 한림읍 금능리 2036-1,33.39112,126.236341,실외,OUTDOOR,4000,100,공용주차장+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+개수대(야영장)+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(27), 교통사고(17), 열상(9)",관광객(1): 익수위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P027,해비치호텔,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-69,33.3223,126.844,실내,INDOOR,1200,150,대형주차장+현금결제+카드결제+화장실+무료WIFI+식당+카페+실내외수영장+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+물품보관소,"낙상(38), 교통사고(27), 동물/곤충(11)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P028,표선해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,도로명주소미보유,제주특별자치도 서귀포시 표선면 표선리,33.32723069,126.8381014,실외,OUTDOOR,11125,169,공용주차장+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+야영장+개수대+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(38), 교통사고(27), 동물/곤충(11)",관광객(1): 익수위험(1) / 불특정다수(1): 미끄럼/낙상(1) / 미상(1): 해양생물(1) / 지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P029,에코랜드테마파크,체험·레저,테마시설,테마파크,Place,SPOT,CENTRAL·POPULAR,관람·체험,야외,제주특별자치도 제주시 조천읍 번영로 1278-169,제주특별자치도 제주시 조천읍 대흘리 1221-1,33.45553,126.668187,실외,OUTDOOR,5000,UNKNOWN,도로명주소미보유,"교통사고(13), 낙상(8), 기타 둔상(3)",관광객(2): 교통위험(2) / 불특정다수(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P030,금오름,자연관광,산·오름,오름,Place,SPOT,CENTRAL·POPULAR,등반·산책,야외,도로명주소미보유,제주특별자치도 제주시 한림읍 금악리 산1-1,33.355765,126.306213,실외,OUTDOOR,500,35,주차장+공중화장실+음료대+유도 및 안내시설+매점+휴게쉼터,"교통사고(48), 낙상(22), 기타 둔상(4)","미상(2): 교통위험(1), 지면/노면(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P031,제주민속오일장,상업·쇼핑,시장,오일장,Place,SPOT,CENTRAL·POPULAR,쇼핑·식음료,전통시장,제주특별자치도 제주시 오일장서길 26(도두일동),제주특별자치도 제주시 도두일동 1212,33.497264,126.474918,실외,OUTDOOR,50000,1786,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+엘리베이터+관광안내소+수유실+장애인편의시설+휠체어대여+유모차대여,"낙상(44), 교통사고(11), 상해(5)",지역주민(2): 교통위험(2),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,노란행 검증레포트 기준 P496 제주민속오일장과 병합
P032,소노벨제주,숙박시설,콘도미니엄,리조트콘도,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 제주시 조천읍 신북로 577,제주특별자치도 제주시 조천읍 함덕리 274,33.54309,126.6712,실내,INDOOR,1200,300,대형주차장+현금결제+카드결제+화장실+무료WIFI+편의점+식당+카페+사우나+유도 및 안내시설+경보 및 피난시설+엘리베이터+물품보관소,"낙상(84), 교통사고(33), 기타 둔상(13)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P033,메종글래드제주호텔,숙박시설,호텔,일반호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 제주시 노연로 80,제주특별자치도 제주시 연동 263-15,33.485,126.4897,실내,INDOOR,1130,312,대형주차장+현금결제+카드결제+화장실+무료WIFI+식당+카페+야외수영장+연회장+유도 및 안내시설+경보 및 피난시설+엘리베이터+의무실,"낙상(141), 교통사고(71), 상해(32)","지역주민(2): 교통위험(1), 화재/폭발(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P034,그랜드조선제주,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도 서귀포시 색달동 2785,33.252,126.4101,실내,INDOOR,600,UNKNOWN,주차장,"낙상(104), 교통사고(45), 기타 둔상(38)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P035,신창풍차해안도로,자연관광,트레일·산책로,해안도로,Area,AREA,CENTRAL·POPULAR,드라이브·산책,야외,도로명주소 미보유,제주특별자치도 제주시 한경면 신창리 1481-23,33.34243,126.171898,실외,OUTDOOR,1000,20,주차장+화장실,"교통사고(12), 낙상(7), 기타 둔상(2)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P036,중문색달해변,자연관광,해양,해변,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,33.244732548,126.573159009,실외,OUTDOOR,4348,70,공영주차장+화장실+편의점+음료대+유도 및 안내시설+경보 및 피난시설,"교통사고(25), 낙상(22), 기타 둔상(5)",관광객(1): 익수위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P037,정방폭포,자연관광,지질·특수자원,폭포,Place,SPOT,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,33.244741,126.573185,실외,OUTDOOR,2065,62,주차장+화장실+매표소,"교통사고(25), 낙상(22), 기타 둔상(5)",지역주민(1): 추락(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P038,산방산,자연관광,산·오름,산,Place,SPOT,CENTRAL·POPULAR,등반·관람,야외,제주특별자치도 서귀포시 안덕면 산방로 218-10,제주특별자치도 서귀포시 안덕면 사계리 181-2,33.2367248827,126.312751394,실외,OUTDOOR,3000,28,관리사무소+화장실+주차장,"교통사고(241), 낙상(198), 기타 둔상(45)","관광객(2): 교통위험(1), 야간위험(1) / 미상(1): 길잃음(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P039,휘닉스아일랜드,숙박시설,콘도미니엄,리조트콘도,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127-2,33.431269,126.92732,실내,INDOOR,820,UNKNOWN,주차장+식음료시설+편의점,"낙상(94), 교통사고(37), 기타 둔상(20)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P040,제주신화월드,체험·레저,테마시설,복합리조트·테마파크,Place,SPOT,CENTRAL·POPULAR,관람·체험,"숙박, 쇼핑",제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산24-15,33.3066,126.3177,실내,INDOOR,5000,2956,주차장+전기차충전,"낙상(64), 교통사고(58), 기타 둔상(20)",종사자(1): 추락(1) / 종사자(상인/근로자)(1): 낙석/붕괴(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,상업 전시·테마시설,중복 병합: P022 제주신화월드랜딩리조트관 / 중복 병합: P027 제주신화월드신화리조트관 / 중복 병합: P089 제주신화월드메리어트리조트관
P041,아르떼뮤지엄제주,문화·전시,전시시설,미디어아트,Place,SPOT,CENTRAL·POPULAR,관람,실내,제주특별자치도 제주시 애월읍 어림비로 478,제주특별자치도 제주시 애월읍 어음리 1503,33.396844,126.345761,실내,INDOOR,8000,UNKNOWN,주차장+화장실+식음료시설+수유실,"교통사고(41), 낙상(17), 기타 둔상(6)",,UNKNOWN,,,,,,,10:00~20:00 (입장마감 19:00),연중무휴,,,UNKNOWN,,,,,,Y,,,,상업 전시·테마시설,UNKNOWN
P042,스누피가든,체험·레저,테마시설,테마가든,Place,SPOT,CENTRAL·POPULAR,관람·산책,실내·실외,제주특별자치도 제주시 구좌읍 금백조로 930,제주특별자치도 제주시 구좌읍 송당리 2303-3,33.444752,126.777532,실내,INDOOR,8000,UNKNOWN,주차장+화장실+식음료시설+기념품점,"교통사고(207), 낙상(183), 동물/곤충(34)",관광객(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,브랜드 홍보·체험관,UNKNOWN
P043,9.81파크,체험·레저,액티비티,복합액티비티,Place,SPOT,CENTRAL·POPULAR,체험,실내·실외,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 3916,33.39029938,126.3667693,실내+실외,MIXED,4000,UNKNOWN,주차장+화장실+식음료시설+편의점+수하물보관소,"교통사고(41), 낙상(17), 기타 둔상(6)",불특정다수(1): 교통위험(1) / 미상(1): 시설위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P044,소노캄제주,숙박시설,콘도미니엄,리조트콘도,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 서귀포시 표선면 일주동로 6347-17,제주특별자치도 서귀포시 표선면 토산리 17,33.305036988017,126.791901232879,실내,INDOOR,1000,UNKNOWN,주차장+화장실+전기차충전+식음료시설+편의점+세탁시설,"낙상(11), 열상(5), 기타 둔상(3)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P045,제주동화마을,체험·레저,테마시설,테마마을,Place,SPOT,CENTRAL·POPULAR,관람·체험,포토존,제주특별자치도 제주시 구좌읍 비자림로 1191,제주특별자치도 제주시 구좌읍 송당리 2145,33.4354329,126.7320377,실외,OUTDOOR,3500,600,주차장+화장실+안내시설+식음료시설,"교통사고(67), 낙상(31), 기타 둔상(4)",,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P046,용두암,자연관광,지질·특수자원,기암,Place,SPOT,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담이동 483,33.5161,126.5118,실외,OUTDOOR,1500,62,주차장+화장실+안내소,"낙상(54), 교통사고(45), 추락(5)",미상(1): 교통위험(1) / 지역주민(1): 추락(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P047,그랜드하얏트제주,숙박시설,호텔,리조트호텔,Place,SPOT,CENTRAL·POPULAR,숙박,숙박,제주특별자치도 제주시 노연로 12,제주특별자치도 제주시 노형동 925,33.4859,126.4816,실내,INDOOR,3520,1400,주차장+화장실+전기차충전+식음료시설,"낙상(79), 교통사고(63), 열상(14)",불특정다수(1): 화재/폭발(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P048,제주항제6부두,교통시설,항만,부두,Area,AREA,CENTRAL·POPULAR,이동·관람,항만,제주특별자치도 제주시 임항로 191,제주특별자치도 제주시 건입동 908-18,33.5245,126.5417,실외,OUTDOOR,4200,449,주차장+화장실+대합실+안내소+편의점+ATM,"낙상(45), 교통사고(31), 열상(9)",지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
