accidentId,placeId,roadId,locationType,locationText,articleText,date,visitMonth,season,timeSlot,weather,crowdLevel,hazardType,victimType,severity,accessibility,risk_id,latitude,longitude,tempMax,tempMin,windSpeed,rainfall,airTemp,humidity,source,sourceDetail,newsPlaceCode,matchType
AE_NEWS_0011,P004,,PLACE,함덕해수욕장,함덕해수욕장 인근 바다에서 중학생 1명 실종,2025-06-15,6월,여름,오후,,,익수위험,지역주민,FATAL,,RP_DROWN_01,33.451074,126.305929,,,,,,,news,"제주일보, http://www.jejunews.com/news/articleView.html?idxno=2218862",P004,EXACT
AE_NEWS_0012,P004,,PLACE,함덕해수욕장,함덕해수욕장 해상서 물놀이 중 수난사고 2명 구조,2025-09-01,9월,가을,오후,,,익수위험,지역주민,RESCUED,,RP_DROWN_01,33.451074,126.305929,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=94951",P004,EXACT
AE_NEWS_0013,P004,,PLACE,함덕해수욕장,함덕해수욕장서 새벽 다이빙한 20대 안전요원 심정지,2024-07-15,7월,여름,야간,무관,,야간위험,,SEVERE,,,33.451074,126.305929,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=85122",P004,EXACT
AE_NEWS_0014,P004,,PLACE,함덕해수욕장,함덕해수욕장서 60대 남성 익사 사고,2024-08-26,8월,여름,오후,,,익수위험,,FATAL,,RP_DROWN_01,33.451074,126.305929,,,,,,,news,"뉴스 1, https://www.news1.kr/local/jeju/5520883",P004,EXACT
AE_NEWS_0015,P004,,PLACE,함덕해수욕장,함덕해수욕장 인근서 사진 찍다가 바다로 2명 추락,2025-01-07,1월,겨울,오전,,,안전시설부족,,RESCUED,,,33.451074,126.305929,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=88884",P004,EXACT
AE_NEWS_0016,P004,,PLACE,함덕해수욕장,함덕항 해상서 60대 여성 심정지 상태 발견,2024-10-27,10월,가을,오전,,,익수위험,지역주민,FATAL,,RP_DROWN_01,33.54591,126.668142,,,,,,,news,"세계일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100701.20241027140222001",P004,EXACT
AE_NEWS_0017,P004,,PLACE,함덕해수욕장,신흥해변 인근서 막내 구하려다 4남매 모두 바다에 빠져,2025-08-11,8월,여름,오후,,,익수위험,지역주민,RESCUED,,RP_DROWN_01,33.551787,126.648798,,,,,,,news,"부산일보사, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500701.20250811102230001",P004,EXACT
AE_NEWS_0018,P005,,PLACE,성산일출봉,성산일출봉에서 암반과 나무가 무너짐(원인불명확),2025-09-16,9월,가을,오후,무관,,낙석,,NONE,,RP_ROCKFALL_01,33.452521,126.924678,,,,,,,news,"제주일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700401.20250916173627001",P005,EXACT
AE_NEWS_0019,P005,,PLACE,성산일출봉,성산일출봉 인근서 스노클링하다 의식 잃은 60대 남성 사망,2025-09-01,8월,여름,오후,,,익수위험,,FATAL,,RP_DROWN_01,33.452521,126.924678,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=94951",P005,EXACT
AE_NEWS_0020,P005,,PLACE,성산일출봉,성산일출봉 오르던 70대 여성 낙상사고,2024-04-09,4월,봄,오전,,,낙상,관광객,SEVERE,,RP_SLIP_TERRAIN,33.452521,126.924678,,,,,,,news,"경향신문, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100101.20240409161654001",P005,EXACT
AE_NEWS_0021,P005,,PLACE,성산일출봉,성산일출봉 연안 항해 중 견시 소홀로 어선이 암초에 걸려 좌초,2026-01-26,1월,겨울,오후,,,해양,종사자,NONE,,RP_DROWN_01,33.45889,126.9425,,,,,,,news,"JIBS, https://www.jibs.co.kr/news/replay/viewNewsReplayDetail/2026012619273909248?feed=na",P005,EXACT
AE_NEWS_0022,P005,,PLACE,성산일출봉,성산일출봉 등산 중 전신쇠약과 어지럼증을 보인 관광객이 소방에 구조,2024-09-27,9월,가을,오전,,,무리산행,관광객,RESCUED,,,33.452521,126.924678,,,,,,,news,"JIBS 제주방송(Daum), https://v.daum.net/v/93VP6SCnQB",P005,EXACT
AE_NEWS_0023,P006,,PLACE,협재해수욕장,협재해수욕장에서 파도에 휩쓸린 아동 사고가 연이어 발생,2025-09-21,9월,가을,오후,파도,,익수위험,불특정다수,RESCUED,,RP_DROWN_01,33.513997,126.54897,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=95486",P006,EXACT
AE_NEWS_0024,P006,,PLACE,협재해수욕장,협재해수욕장에서 물놀이 하던 폴란드 국적의 10대 남성 2명 해파리에 쏘임,2026-06-22,6월,여름,오후,,,해파리,관광객,UNKNOWN,,,33.513997,126.54897,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=103366",P006,EXACT
AE_NEWS_0025,P006,,PLACE,협재해수욕장,협재해수욕장 주차장에 주차된 캠핑카에 불이 남 (원인불명확),2025-10-13,10월,가을,오후,,,화재위험,,PROPERTY,,RP_FIRE_01,33.394233,126.240817,,,,,,,news,"JIBS 제주방송, https://www.jibs.co.kr/news/articles/articlesDetail/52763",P006,EXACT
AE_NEWS_0026,P006,,PLACE,협재해수욕장,협재해수욕장에서 패들보드 탑승자 강풍에 떠밀렸다가 해경에 구조,2024-05-10,5월,봄,오후,강풍,,기상/강풍,불특정다수,RESCUED,,RP_WIND_01,33.3932945,126.238943,,,,,,,news,"뉴시스, https://www.newsis.com/view/NISX20240510_0002731087",P006,EXACT
AE_NEWS_0027,P007,,PLACE,오설록티뮤지엄,오설록 인근서 차량 전신주 추돌사고,2026-02-18,2월,겨울,오전,,,교통위험,,SEVERE,,RP_TRAFFIC_01,33.305893,126.289534,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=99562",P007,EXACT
AE_NEWS_0028,P008,,PLACE,이호테우해변,제주 이호테우해변 인근서 SUV에 치인 80대 사망,2026-05-19,5월,봄,오후,,,교통위험,지역주민,FATAL,,RP_TRAFFIC_01,33.497896,126.452824,,,,,,,news,"제주의소리, https://www.jejusori.net/news/articleView.html?idxno=502986",P008,EXACT
AE_NEWS_0029,P010,,PLACE,섭지코지,섭지코지 호텔부지 산책로 담뱃불 취급 부주의 추정 화재,2024-05-19,5월,봄,오후,무관,,화재위험,,PROPERTY,,RP_FIRE_01,33.355765,126.306213,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=83856",P010,EXACT
AE_NEWS_0030,P011,,PLACE,김녕해수욕장,성세기해변서 다이빙하던 30대 남성 숨짐,2024-08-18,8월,여름,오후,무관,,익수위험,,FATAL,,RP_DROWN_01,33.557118,126.736557,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=85921",P011,EXACT
AE_NEWS_0031,P011,,PLACE,김녕해수욕장,김녕해수욕장서 스노클링 20대 물에 빠져 심정지,2025-07-19,7월,여름,오전,,,익수위험,,SEVERE,,RP_DROWN_01,33.557118,126.736557,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=93875",P011,EXACT
AE_NEWS_0032,P011,,PLACE,김녕해수욕장,"김녕포구서 수영하던 관광객 사망, 구조하던 주민 다쳐",2025-08-20,8월,여름,오전,,,익수위험,관광객,FATAL,,RP_DROWN_01,33.557118,126.736557,,,,,,,news,"노컷뉴스, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=04100058.20250820134812001",P011,EXACT
AE_NEWS_0033,P011,,PLACE,김녕해수욕장,김녕성세기해변 인근 해상에서 스노쿨링 도중 의식을 잃은 20대 구조,2025-07-22,7월,여름,오전,,,익수위험,,RESCUED,,RP_DROWN_01,33.557118,126.736557,,,,,,,news,"제주매일, https://www.jejumaeil.net/news/articleView.html?idxno=348469",P011,EXACT
AE_NEWS_0034,P012,,PLACE,곽지해수욕장,곽지해수욕장서 물놀이 사고로 30대 남성 사망,2025-07-25,7월,여름,오후,,,익수위험,관광객,FATAL,,RP_DROWN_01,33.450865,126.305687,,,,,,,news,"경향신문, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100101.20250725162736001",P012,EXACT
AE_NEWS_0035,P013,,PLACE,한라산둘레길사려니숲길,사려니 숲길에서 말벌에 쏘임,2024-09-20,9월,가을,주간,,,말벌,탐방객,UNKNOWN,,RP_ANIMAL_01,33.42733,126.6616,,,,,,,news,"MBN뉴스, https://www.mbn.co.kr/news/society/5058414",P013,EXACT
AE_NEWS_0036,P013,,PLACE,한라산둘레길사려니숲길,제주 사려니숲길서 길 잃은 등산객 2명 구조,2026-02-12,2월,겨울,오후,,,경로이탈,,RESCUED,,,33.42733,126.6616,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=99447",P013,EXACT
AE_NEWS_0037,P014,,PLACE,성산포종합여객터미널,1톤 트럭 바다로 추락,2024-05-20,5월,여름,야간,무관,,"안전시설부족, 야간위험",지역주민,SEVERE,,,33.470456,126.929039,,,,,,,news,"SBS, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=08100301.20240520205107001",P014,EXACT
AE_NEWS_0038,P015,,PLACE,용머리해안,서귀포 용머리 해안서 40대 관광객 추락,2025-05-28,5월,봄,오전,무관,,낙상,관광객 ,RESCUED,,RP_SLIP_TERRAIN,33.232861,126.314063,,,,,,,news,"JIBS뉴스, https://www.jibs.co.kr/news/articles/articlesDetail/47699",P015,EXACT
AE_NEWS_0039,P016,RS_BIJARIM,PLACE,비자림,새벽부터 내린 눈과 강품으로 비자림로 대ㆍ소형 차량 모두 통제,2026-01-11,1월,겨울,,"눈, 강풍",,교통위험,불특정다수,UNKNOWN,,RP_TRAFFIC_01,33.474431,126.777484,,,,,,,news,"서울신문, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100611.20260111093051001",P016,EXACT
AE_NEWS_0040,P016,,PLACE,비자림,구좌읍 평대리 방풍림에서 발생한 들불 진압,2026-03-09,3월,봄,,"건조한 날씨, 강한 바람",,화재위험,지역주민,NONE,,RP_FIRE_01,33.49714,126.812463,,,,,,,news,"동아일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100401.20260309043234001",P016,EXACT
AE_NEWS_0041,P017,,PLACE,카멜리아힐,"25t 트럭이 차량 4대 추돌, 14명 중경상(원인불명확)",2025-07-31,7월,여름,오전,,,시설/인프라(교통위험),불특정다수,SEVERE,,RP_TRAFFIC_01,33.2808397,126.3568931,,,,,,,news,"JIBS 제주방송, https://www.jibs.co.kr/news/articles/articlesDetail/50073?feed=da&kakao_from=mainnews",P017,EXACT
AE_NEWS_0042,P020,,PLACE,제주항연안여객터미널,제주항에 입항하던 여객선서 30대 여성 추락,2026-05-04,5월,봄,오전,,,안전시설부족,,SEVERE,,,33.509258,126.471975,,,,,,,news,"한라일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700201.20260504120033001",P020,EXACT
AE_NEWS_0043,P021,,PLACE,주상절리대,"동전밭'된 주상절리대, 천연기념물 몸살",2024-05-18,5월,봄,,,,"환경오염, 미관훼손",불특정다수,UNKNOWN,,,33.511589,126.526006,,,,,,,news,"뉴시스, https://www.newsis.com/view/?id=NISX20240518_0002739258&cID=10813&pID=10800",P021,EXACT
AE_NEWS_0044,P021,,PLACE,주상절리대,도리왈 해변 인근 해상에서 스노쿨링하던 40대 여성 구조,2025-07-10,7월,여름,오후,,,익수위험,관광객,RESCUED,,RP_DROWN_01,33.235815,126.42871,,,,,,,news,"제주일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700401.20250710151225002",P021,EXACT
AE_NEWS_0045,P022,,PLACE,새별오름,애월 새별오름 인근서 짙은 안개로 인한 연쇄 교통사고,2026-04-01,3월,봄,오전,안개,,짙은 안개,불특정다수,UNKNOWN,,RP_FOG_02,33.368959,126.350594,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=100985",P023,EXACT
AE_NEWS_0046,P022,,PLACE,새별오름,제주도산지 호우경보,2024-02-18,2월,겨울,오후,호우,,호우,,NONE,,RP_RAIN_02,33.368959,126.350594,,,,,,,news,"노컷뉴스, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=04100058.20240218171625001",P023,EXACT
AE_NEWS_0047,P022,,PLACE,새별오름,새별오름 인근 도로에서 기상악화로 노선버스와 승합차가 충돌,2026-02-08,2월,겨울,오후,눈,,대설,불특정다수,MINOR,,RP_SNOW_01,33.36678,126.35771,,,,,,,news,"머니투데이, https://www.mt.co.kr/society/2026/02/08/2026020818392115314",P023,EXACT
AE_NEWS_0048,P022,RS_PEACE,PLACE,새별오름,제주 평화로서 보행자 교통사고,2026-01-10,1월,겨울,오전,,,교통위험,지역주민,FATAL,,RP_TRAFFIC_01,33.368959,126.350594,,,,,,,news,"제주의소리, https://www.jejusori.net/news/articleView.html?idxno=442833",P023,EXACT
AE_NEWS_0049,P026,,PLACE,금능해수욕장,금능해수욕장서 70대 남자관광객 바다에 빠져 숨져,2024-07-09,7월,여름,오후,무관,,익수위험,관광객,FATAL,,RP_DROWN_01,33.39112,126.236341,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=85010",P028,EXACT
AE_NEWS_0050,P028,,PLACE,표선해수욕장,표선해수욕장서 푸른우산관해파리떼 출몰해 출입 통제,2025-07-29,7월,여름,,수온상승,,푸른우산관해파리,,NONE,,,33.326932,126.83772,,,,,,,news,"한국일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01101101.20250729174140001",P030,EXACT
AE_NEWS_0051,P028,,PLACE,표선해수욕장,표선해수욕장 남측 도로서 1톤 트럭과 보행자 충돌,2026-06-25,6월,여름,오전,,,교통위험,지역주민,FATAL,,RP_TRAFFIC_01,33.326932,126.83772,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=103469",P030,EXACT
AE_NEWS_0052,P028,,PLACE,표선해수욕장,물놀이 중 넘어지며 갯바위에 몸을 부딪혀 병원으로 이송,2025-08-08,8월,여름,오전,,,"지형/노면(미끄럼, 낙상)",불특정다수,MINOR,,RP_SLIP_TERRAIN,33.326932,126.83772,,,,,,,news,"뉴시스, https://www.newsis.com/view/NISX20250808_0003283076",P030,EXACT
AE_NEWS_0053,P029,,PLACE,에코랜드테마파크,비로 미끄러진 에코랜드 관광기차가 탈선·전도 탑승자 37명 중경상,2021-04-12,4월,봄,오후,비,,"시설/인프라(안전시설부족, 조명부족, 난간없음, 주차혼잡, 교통위험)",관광객,SEVERE,,RP_TRAFFIC_01,33.4475725,126.6720715,,,,,,,news,"아이뉴스24(Daum), https://v.daum.net/v/crEo7FYvcO",P031,EXACT
AE_NEWS_0054,P030,,PLACE,금오름,제주시 한림읍 금오름을 오르던 60대 남성이 발목을 다치는 사고가 일어났다.,2026-05-07,5월,봄,오전,,,지면/노면,,MINOR,,,33.354522,126.305272,,,,,,,news,"제주매일, https://www.jejumaeil.net/news/articleView.html?idxno=400614",P032,EXACT
AE_NEWS_0055,P030,,PLACE,금오름,금오름 주차장에서 차량 화재가 발생 차량이 전소,2025-07-05,7월,여름,오후,,,화재위험,,PROPERTY,,RP_FIRE_01,33.35696,126.30564,,,,,,,news,"JIBS, https://www.jibs.co.kr/news/articles/articlesDetail/49102?feed=da&kakao_from=mainnews",P032,EXACT
AE_NEWS_0056,,,UNRESOLVED,제주민속오일시장,시장 인근에서 승용차가 중앙선을 넘어 가로등 들이 받음,2024-12-17,12월,겨울,오후,,,교통위험,지역주민,FATAL,,RP_TRAFFIC_01,33.497242,126.474894,,,,,,,news,"JIBS 제주방송, https://www.jibs.co.kr/news/articles/articlesDetail/43209",P033,
AE_NEWS_0057,,,UNRESOLVED,제주민속오일시장,시장 인근에서 만취 상태로 지게차를 몰다 오토바이와 충돌,2025-08-28,8월,여름,오전,,,교통위험,지역주민,FATAL,,RP_TRAFFIC_01,33.497242,126.474894,,,,,,,news,"nate뉴스,https://news.nate.com/view/20250828n27164",P034,
AE_NEWS_0058,P033,,PLACE,메종글래드제주호텔,메종글래드 인근에 주차된 승용차서 화재로 주변 피해,2024-07-10,7월,여름,야간,강풍,,화재위험,지역주민,PROPERTY,,RP_WIND_01,33.962456,126.295493,,,,,,,news,"뉴스1, https://www.news1.kr/local/jeju/5474204",P035,EXACT
AE_NEWS_0059,P033,,PLACE,메종글래드제주호텔,메종글래드 인근 내리막길서 전동킥보드 타다 부상,2024-08-11,8월,여름,야간,,,교통위험,지역주민,MINOR,,RP_TRAFFIC_01,33.962456,126.295493,,,,,,,news,"JIBS뉴스, https://www.jibs.co.kr/news/articles/articlesDetail/40559?feed=na",P035,EXACT
AE_NEWS_0060,P036,,PLACE,중문색달해변,색달해변 해수욕장에서 외국인 10대 남성 2명 물에 빠짐,2025-06-15,6월,여름,오후,,,익수위험,관광객,UNKNOWN,,RP_DROWN_01,33.245558,126.405564,,,,,,,news,"제주일보, http://www.jejunews.com/news/articleView.html?idxno=2218862",P038,EXACT
AE_NEWS_0061,P037,,PLACE,정방폭포,소정방폭포 인근 해안가에서 주인과 산책하던 반려견 절백 아래로 추락,2026-05-28,5월,봄,오전,,,미끄럼,지역주민,RESCUED,,RP_SLIP_TERRAIN,33.462151,126.936385,,,,,,,news,"KBS뉴스, https://news.kbs.co.kr/news/pc/view/view.do?ncd=8572435&ref=A",P039,EXACT
AE_NEWS_0062,P038,,PLACE,산방산,산방산 인근서 등산객 길 잃어,2026-01-23,1월,겨울,오후,,,경로이탈,,RESCUED,,,33.962456,126.295493,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=98863",P040,EXACT
AE_NEWS_0063,P038,,PLACE,산방산,산방산 출입통제구역 무단입산 외국인 야간 수색 끝 구조,2026-05-20,5월,봄,야간,무관,,야간위험,관광객,RESCUED,,,33.962456,126.295493,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=102536",P040,EXACT
AE_NEWS_0064,P038,,PLACE,산방산,산방산 인근 도로 내리막길에서 달리던 렌터카 도로 옆 도랑으로 빠지는 사고 발생,2025-06-26,6월,여름,야간,,,"야간위험, 교통위험",관광객,SEVERE,,RP_TRAFFIC_01,33.962456,126.295493,,,,,,,news,"세계일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100701.20250626142533001",P040,EXACT
AE_NEWS_0065,P042,,PLACE,스누피가든,제주서 외국인 렌터카에 내국인 관광객 심정지,2025-09-30,9월,가을,오전,,,교통위험,관광객,SEVERE,,RP_TRAFFIC_01,33.444752,126.777532,,,,,,,news,국민일보. https://www.kmib.co.kr/article/view.asp?arcid=0028769773&code=61121211&cp=nv,P044,EXACT
AE_NEWS_0066,P043,,PLACE,9.81파크,제주서 360도 하늘그네 타다 중요부위 찔림,2025-10-15,10월,여름,시간불명,무관,,안전시설부족,,MINOR,,,33.39029938,126.3667693,,,,,,,news,"헤럴드경제, https://biz.heraldcorp.com/article/10593007?ref=naver",P045,EXACT
AE_NEWS_0067,P043,,PLACE,9.81파크,애월읍 어음리 한 도로에서  추돌사고 잇따라,2025-06-18,6월,여름,오후,,,교통위험,불특정다수,SEVERE,,RP_TRAFFIC_01,33.39029938,126.3667693,,,,,,,news,"데일리안, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=04100158.20250618182200001",P045,EXACT
AE_NEWS_0068,P046,,PLACE,용두암,해안도로에서 차량 2대가 부딪힘.  피하려던 승용차갯바위로 추락,2025-07-01,7월,여름,오후,,,교통위험,지역주민,SEVERE,,RP_TRAFFIC_01,33.516109,126.512058,,,,,,,news,"제주의소리, https://www.jejusori.net/news/articleView.html?idxno=437525",P048,EXACT
AE_NEWS_0069,P046,,PLACE,용두암,차량통행이 전면 통제됐고 용담동 일대 교통혼잡이 우려,2024-05-06,5월,봄,,,,출입통제,,UNKNOWN,,,33.516109,126.512058,,,,,,,news,"헤드라인제주, https://www.headlinejeju.co.kr/news/articleView.html?idxno=542992",P048,EXACT
AE_NEWS_0070,P047,,PLACE,그랜드하얏트제주,"사우나실에서 불이 나 긴급 대피, 직원 16명 연기를 흡입",2024-06-10,6월,여름,오후,,,화재,불특정다수,SEVERE,,RP_FIRE_01,33.4853,126.4816,,,,,,,news,"연합뉴스TV, https://www.yonhapnewstv.co.kr/news/MYH20240610003000641",P049,EXACT
AE_NEWS_0071,P048,,PLACE,제주항제6부두,제주항 6부두 앞 도로에서 관광버스와  5t 화물차 충돌,2024-03-20,3월,봄,오후,무관,,교통위험,지역주민,MINOR,,RP_TRAFFIC_01,33.455724,126.56139,,,,,,,news,"한라일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700201.20240320172017001",P050,EXACT
AE_NEWS_0072,P049,,PLACE,하귀애월해안도로,"승용차가 절벽 아래로 추락, 50대 남성을 구조",2024-07-22,7월,여름,오후,,,교통위험,지역주민,SEVERE,,RP_TRAFFIC_01,33.47486,126.353131,,,,,,,news,"헤드라인제주, https://www.headlinejeju.co.kr/news/articleView.html?idxno=548826",P051,EXACT
AE_NEWS_0073,P051,,PLACE,삼양해수욕장,삼양해수욕장서 11월 해수욕장 물놀이 사고 구조,2025-11-02,11월,가을,오후,"쌀쌀함, 파도",,익수위험,지역주민,RESCUED,,RP_DROWN_01,33.462151,126.936385,,,,,,,news,"제주뉴스, http://www.jejunews.biz/news/articleView.html?idxno=96645",P053,EXACT
AE_NEWS_0074,P051,,PLACE,삼양해수욕장,삼양해수욕장서 물놀이하던 10대 물에 빠지는 사고 발생,2026-06-05,6월,여름,오후,,,익수위험,지역주민,MINOR,,RP_DROWN_01,33.462151,126.936385,,,,,,,news,"파이낸셜뉴스, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=02100501.20260605145112001",P053,EXACT
AE_NEWS_0075,P052,,PLACE,쇠소깍,쇠소깍 앞바다에서 친구와 수영하던 20대 남성이 실종,2025-09-25,9월,가을,오후,,,익수위험,관광객,FATAL,,RP_DROWN_01,33.2521,126.6225,,,,,,,news,"연합뉴스, https://www.yna.co.kr/view/AKR20250925025900056",P054,EXACT
AE_NEWS_0076,P053,,PLACE,월정리해변,월정해수욕장에서 물놀이 중 물에 빠졌다가 인근 서퍼에게 구조,2026-06-12,6월,여름,오후,,,해양(익수위험),,RESCUED,,RP_DROWN_01,33.5559928,126.7960312,,,,,,,news,"JIBS 제주방송, https://www.jibs.co.kr/news/articles/articlesDetail/62317",P055,EXACT
AE_NEWS_0077,P055,,PLACE,도두동무지개해안도로,도두이동 소재 무지개해안로 동쪽 공영주차장이 밤새 내린 빗물에 잠김,2025-08-21,8월,여름,야간,호우,,교통위험,불특정다수,UNKNOWN,,RP_TRAFFIC_01,33.509258,126.471975,,,,,,,news,"제주일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700401.20250821152729001",P057,EXACT
AE_NEWS_0078,P055,,PLACE,도두동무지개해안도로,방호벽 위에서 사진을 찍다 중심을 잃어 경상,2024-05-17,5월,봄,오후,무관,,"교통위험, 안전시설부족",관광객,MINOR,,RP_TRAFFIC_01,33.509258,126.471975,,,,,,,news,"서울신문, https://www.seoul.co.kr/news/society/accident/2024/05/17/20240517500009",P057,EXACT
AE_NEWS_0079,P055,,PLACE,도두동무지개해안도로,"도두무지개해안로 무단횡단, 불법 주정차 등 무질서행위 집중단속",2024-06-13,6월,여름,시간불명,무관,,교통위험,불특정다수,NONE,,RP_TRAFFIC_01,33.509258,126.471975,,,,,,,news,"JIBS뉴스, https://www.jibs.co.kr/news/articles/articlesDetail/39411?feed=na",P057,EXACT
AE_NEWS_0080,P056,,PLACE,제주항국제여객터미널,강풍으로 인한 제주항 출항 여객선의 방파제 인근 얕은 해상 좌주 및 인명피해 없음,2026-05-15,5월,봄,오후,강풍,,기상(강풍),불특정다수,NONE,,RP_WIND_01,33.516667,126.533333,,,,,,,news,"뉴스1, https://www.news1.kr/local/jeju/6168494",P058,ALIAS
