placeId,name,swimmingRestriction,harborName,harborType,designationConfidence,legalBasis,penalty,effectiveDate,currentStatus,note,source
P239,도두항,PROHIBITED_FROM_2027,도두항,국가어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,국가어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P245,삼화포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P251,정주항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P276,다끄네포구(용담포구),NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P281,신양포구,PROHIBITED_FROM_2027,신양항,국가어항(지방어항 중복 등재),CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,국가어항·지방어항 목록에 동시 등재 — 어항구역 중복 검증 필요(보고서 C판정). 금지 대상인 점은 동일,제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P318,월령포구,PROHIBITED_FROM_2027,월령항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P331,한림항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P332,현사포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P340,협재포구,PROHIBITED_FROM_2027,협재항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P362,구엄포구,PROHIBITED_FROM_2027,구엄항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P367,신창리포구,PROHIBITED_FROM_2027,신창항,지방어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,지방어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P374,고내리포구,PROHIBITED_FROM_2027,고내항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P405,연대포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P438,법환포구,PROHIBITED_FROM_2027,법환항,지방어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,지방어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P446,김녕항,PROHIBITED_FROM_2027,김녕항,국가어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,국가어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P479,대평포구,PROHIBITED_FROM_2027,대평항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P480,서귀포항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P489,금성포구,PROHIBITED_FROM_2027,금성항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P490,동일리포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P495,위미항,PROHIBITED_FROM_2027,위미항,국가어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,국가어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P501,자구내포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P509,태흥포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P520,대포포구,PROHIBITED_FROM_2027,대포항,지방어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,지방어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P523,별도포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P567,굴동포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P584,대수포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P600,오조포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P601,온평리포구,PROHIBITED_FROM_2027,온평항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P605,월평포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P892,북촌포구,PROHIBITED_FROM_2027,북촌항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P893,용수포구,PROHIBITED_FROM_2027,용수항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P894,하예포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P895,세화항,PROHIBITED_FROM_2027,세화항,지방어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,지방어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P896,운진항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P897,구두미포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P898,남원항,PROHIBITED_FROM_2027,남원항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P899,신촌포구,PROHIBITED_FROM_2027,신촌항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
