newsPid,placeName,article_text,published_date
P669,서귀포시 서홍동 단독주택 마당,마당 밭일 중 열사병으로 이송,2026-07-13 00:00:00
P673,서귀포시 강정동 양어장 기계실,"불어난 빗물로 양어장 기계실 침수, 긴급 배수",2026-04-09 00:00:00
P674,서귀포시 남원읍 도로·배수로,"호우로 남원읍 도로·배수로 침수, 한때 도로 통제",2026-04-09 00:00:00
P675,서귀포시 안덕면 숙박시설,숙박시설에서 빗물에 미끄러진 60대가 부상·이송,2026-04-09 00:00:00
P677,서귀포시 남원읍 도로변 배수로,태풍 장미 폭우로 불어난 배수로 물에 70대 여성이 휩쓸려 구조,2026-06-02 00:00:00
P679,서귀포시 성산읍 주택 마당,"태풍 장미 폭우로 성산읍 주택 마당 침수, 안전조치",2026-06-02 00:00:00
P680,서귀포시 송산동 556-15 자치경찰대 인근,"장맛비로 지반 약화 추정, 송산동 석축 붕괴 후 주민 7명 대피",2026-07-04 00:00:00
P681,서귀포시 안덕면 사계리 해상,파도 때문에 빠져나오지 못한 제트스키 탑승 10대 관광객 2명 구조·이송,2026-07-09 00:00:00
P686,서귀포시 안덕면 주택,강풍으로 안덕면 주택 지붕 구조물이 떨어져 소방 안전조치,2026-04-09 00:00:00
P689,서귀포시 대포동 도로변 가로수,"태풍급 강풍에 대포동 가로수가 도로 위로 쓰러져 차량 통행 차질, 소방 조치",2026-04-09 00:00:00
P690,서귀포시 성산읍 건물 옥상 유리난간,강풍에 성산읍 건물 옥상 유리난간이 흔들려 소방 안전조치,2026-04-04 00:00:00
P691,서귀포시 서홍동 전신주,"강풍·호우 속 서홍동 전신주 단자에서 스파크 발생, 소방 안전조치",2026-04-04 00:00:00
P693,서귀포시 남원읍 도로,강한 비로 남원읍 도로가 침수돼 소방 안전조치,2026-05-26 00:00:00
P696,서귀포시 토평동 도로변 나무,강풍에 토평동 나무가 쓰러져 소방 안전조치,2026-06-20 00:00:00
P697,서귀포시 남원읍 도로변 나무,강풍에 남원읍 나무가 쓰러져 소방 안전조치,2026-06-20 00:00:00
P701,서귀포시 성산읍 맨홀,"강풍·호우 속 성산읍 맨홀이 역류했다는 신고 접수, 소방 안전조치",2026-04-09 00:00:00
P706,서귀포시 안덕면 신호등 전선,태풍 바비 간접영향 강풍으로 안덕면 신호등 전선이 끊어져 소방 안전조치,2026-07-11 00:00:00
P710,서귀포시 성산읍 통신선,강풍으로 성산읍 통신선이 탈락해 소방 안전조치,2026-03-02 00:00:00
P711,서귀포시 대정읍 건물 외장재,강풍으로 대정읍 건물 외벽 외장재 일부가 떨어져 소방 안전조치,2026-03-02 00:00:00
P716,서귀포시 대정읍 도로변 나무,강풍으로 대정읍 도로 위 나무가 쓰러져 소방 안전조치,2026-03-02 00:00:00
P717,서귀포시 중문동 도로변 나무,강풍으로 중문동 도로 위 나무가 쓰러져 소방 안전조치,2026-03-02 00:00:00
P718,서귀포시 안덕면 도로변 나무,강풍으로 안덕면 도로 위 나무가 쓰러져 소방 안전조치,2026-03-02 00:00:00
P726,서귀포시 보목동 간판,강풍으로 보목동 간판이 탈락해 소방 안전조치,2026-03-02 00:00:00
P729,서귀포시 동홍동 건물 외장재,태풍급 강풍으로 동홍동 건물 외장재가 떨어져 긴급 안전조치,2026-03-03 00:00:00
P734,서귀포시 보목동 돌담,강풍으로 보목동 돌담이 무너져 소방 안전조치,2026-06-24 00:00:00
P736,서귀포시 대정읍 신호등,강풍으로 대정읍 신호등이 떨어져 소방 출동,2026-06-24 00:00:00
P737,서귀포시 성산읍 전선,강풍으로 성산읍 전선이 끊어져 소방 안전조치,2026-06-24 00:00:00
P738,서귀포시 중문동 건물 외벽,강풍으로 중문동 건물 외벽이 떨어져 소방 안전조치,2026-06-24 00:00:00
P740,서귀포시 안덕면 건물 외벽 마감재,강풍으로 안덕면 건물 외벽 마감재가 탈락해 소방 안전조치,2026-07-11 00:00:00
P745,서귀포시 지역 가로수 피해,장마 호우·강풍으로 서귀포시 지역 가로수 2개소가 전도돼 안전조치,2026-07-01 00:00:00
P746,서귀포시 지역 울타리·돌담 피해,장마 호우·강풍으로 서귀포시 지역 울타리·돌담 2개소가 파손돼 안전조치,2026-07-01 00:00:00
P750,서귀포시 남원읍 건물 간판,강풍으로 남원읍 건물 간판이 파손돼 소방 안전조치,2026-04-04 00:00:00
P752,서귀포시 성산읍 도로변 나무,강풍으로 성산읍 도로 위 나무가 쓰러져 소방 안전조치,2026-04-04 00:00:00
P753,서귀포시 표선면 도로변 나무,강풍으로 표선면 도로 위 나무가 쓰러져 소방 안전조치,2026-04-04 00:00:00
P754,서귀포시 남원읍 도로변 나무,강풍으로 남원읍 도로 위 나무가 쓰러져 소방 안전조치,2026-04-04 00:00:00
P761,서귀포시 강정민군복합항 남쪽 22km 해상,태풍 간접영향 풍랑주의보 속 강정민군복합항 남쪽 해상에서 스크루에 부유물이 감긴 중국 화물선(승선원 15명)이 표류해 해경이 안전해역으로 예인,2026-07-12 00:00:00
P762,서귀포시 성산읍 한도교 인근 간출암,청게를 잡으려던 20대 관광객 2명이 밀물로 수위가 급상승하자 성산읍 한도교 인근 간출암에 고립됐다가 해경 구조,2026-07-05 00:00:00
P763,서귀포시 대정읍 영락리 해안가 갯바위,강한 너울 유입 속 대정읍 영락리 해안가 갯바위에서 낚시객 1명이 물이 불어나 고립됐다가 해경 구조,2026-07-11 00:00:00
P766,서귀포시 성산읍 차도,폭우로 성산읍 차도가 침수돼 소방이 배수 작업,2026-06-17 00:00:00
P768,서귀포시 중문동 맨홀,폭우로 중문동 맨홀에 물이 넘쳐 소방 안전조치,2026-05-26 00:00:00
P772,서귀포시 서귀동 빗물 배수관,강풍으로 서귀동 빗물 배수관이 이탈해 소방 안전조치,2026-01-10 00:00:00
